city,state,2022-estimate,2020-census,2020-land-area-km2
Milwaukee, Wisconsin,563305,577222,249.2
Madison, Wisconsin,272903,269840,206.2
Green Bay, Wisconsin,106095,107395,117.8
Seattle, Washington,749256,737015,217
Spokane, Washington,230160,228989,178.2
Tacoma, Washington,221776,219346,128.7
Vancouver, Washington,194512,190915,126.1
Bellevue, Washington,152767,151854,86.8
Kent, Washington,134392,136588,87.5
Everett, Washington,111337,110629,86
Spokane Valley, Washington,107325,102976,97.6
Renton, Washington,104047,106785,60.9
Virginia Beach[l], Virginia[B],455618,459470,633.8
Chesapeake[l], Virginia[B],252488,249422,876.7
Norfolk[l], Virginia[B],232995,238005,138
Richmond[l], Virginia[B],229395,226610,155.1
Newport News[l], Virginia[B],184306,186247,178.7
Alexandria[l], Virginia[B],155525,159467,38.6
Hampton[l], Virginia[B],138037,137148,133.4
Salt Lake City, Utah,204657,199723,285.7
West Valley City, Utah,136650,140230,92.7
West Jordan, Utah,116664,116961,83.7
Provo, Utah,113523,115162,108
St. George, Utah,102519,95342,203.3
Houston, Texas,2302878,2304580,1658.6
San Antonio, Texas,1472909,1434625,1291.9
Dallas, Texas,1299544,1304379,879.6
Austin, Texas,974447,961855,828.5
Fort Worth, Texas,956709,918915,899.5
El Paso, Texas,677456,678815,669.3
Arlington, Texas,394602,394266,248.4
Corpus Christi, Texas,316239,317863,420.1
Plano, Texas,289547,285494,185.7
Lubbock, Texas,263930,257141,348.6
Laredo, Texas,256187,255205,275.8
Irving, Texas,254715,256684,173.5
Garland, Texas,240854,246018,147.9
Frisco, Texas,219587,200509,177.7
McKinney, Texas,207507,195308,173.5
Grand Prairie, Texas,201843,196100,188
Amarillo, Texas,201291,200393,265
Brownsville, Texas,189382,186738,340.6
Killeen, Texas,159172,153095,141.9
Denton, Texas,150353,139869,249.7
Mesquite, Texas,147899,150108,125.6
Pasadena, Texas,147662,151950,113.2
McAllen, Texas,144579,142210,161.4
Waco, Texas,143984,138486,229.7
Midland, Texas,134444,132524,195.5
Carrollton, Texas,133820,133434,95.1
Lewisville, Texas,131215,111822,95.8
Abilene, Texas,127385,125182,276.4
Pearland, Texas,126949,125828,126.1
Round Rock, Texas,126697,119468,97.4
College Station, Texas,124319,120511,132.6
Richardson, Texas,118802,119469,74.1
League City, Texas,115418,114392,132.9
Odessa, Texas,112906,114428,132.3
